jumlah_dosen,univ_name
101,Universitas Sang Bumi Ruwa Jurai
190,Universitas Muhammadiyah Metro
173,Universitas Prof Dr Hazairin SH
95,Universitas Palembang
62,Universitas IBA
223,Universitas Tridinanti
303,Universitas Malahayati
294,Universitas Muhammadiyah Bengkulu
86,Universitas Tamansiswa
185,Universitas Bandar Lampung
108,Universitas Sjakhyakirti
63,Universitas Tulang Bawang
139,Universitas Baturaja
407,Universitas PGRI Palembang
109,Universitas Kader Bangsa
53,Universitas Ratu Samban
235,Universitas Bina Darma
0,Universitas Bangka Belitung
70,Universitas Megou Pak Tulang Bawang
53,Universitas Islam Ogan Komering Ilir Kayuagung
292,Universitas Dehasen Bengkulu
155,Universitas Indo Global Mandiri
67,Universitas Musi Rawas
74,Universitas Nahdlatul Ulama Lampung
105,Universitas Katolik Musi Charitas
166,Universitas Teknokrat Indonesia
122,Institut Informatika Dan Bisnis Darmajaya
18,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Pringsewu
110,STKIP PGRI Lubuk Linggau
12,Sekolah Tinggi Ilmu Pertanian Surya Dharma
39,Sekolah Tinggi Ilmu Administrasi Bengkulu
73,STISIPOL Candradimuka
23,Sekolah Tinggi Ilmu Pertanian Dharma Wacana
35,STKIP PGRI Metro
21,Sekolah Tinggi Ilmu Ekonomi Pertiba
35,STKIP Muhammadiyah Kotabumi
67,STKIP Muhammadiyah Pringsewu
13,Sekolah Tinggi Ilmu Hukum Pertiba Pangkalpinang
101,STKIP PGRI Bandar Lampung
0,Sekolah Tinggi Teknik Musi
0,STIE Sultan Mahmud Badaruddin
15,Sekolah Tinggi Ilmu Ekonomi Ragam Tunas
22,Sekolah Tinggi Ilmu Pertanian Sriwigama
0,Sekolah Tinggi Ilmu Pertanian Bumi Silampari
22,Sekolah Tinggi Ilmu Ekonomi Aprin
18,Sekolah Tinggi Ilmu Manajemen Amkop
17,STISIPOL Dharma Wacana
8,Sekolah Tinggi Perkebunan Lampung
14,Sekolah Tinggi Ilmu Ekonomi Serasan Muara Enim
35,Sekolah Tinggi Ilmu Hukum Sumpah Pemuda
31,Sekolah Tinggi Ilmu Ekonomi Serelo Lahat
32,Sekolah Tinggi Teknologi Nusantara Lampung
47,Sekolah Tinggi Ilmu Ekonomi Trisna Negara
71,STKIP Dharma Wacana
11,Sekolah Tinggi Bahasa Asing Yunisla Bandar Lampung
12,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Kalianda
22,STMIK Tunas Bangsa
9,Sekolah Tinggi Ilmu Hukum Serasan Muara Enim
8,Sekolah Tinggi Ilmu Teknik Serasan
21,Sekolah Tinggi Ilmu Ekonomi Prasetiya Mandiri Lampung
9,STIPSI Widya Dharma
26,Sekolah Tinggi Ilmu Ekonomi Mulia Darma Pratama
10,Sekolah Tinggi Ilmu Ekonomi Dwi Sakti Baturaja
40,Sekolah Tinggi Ilmu Ekonomi Rahmaniyah
44,Sekolah Tinggi Ilmu Ekonomi Musi Rawas
35,Sekolah Tinggi Ilmu Ekonomi Satu Nusa
16,Sekolah Tinggi Bahasa Asing Methodist
0,Sekolah Tinggi Ilmu Ekonomi Musi
0,Sekolah Tinggi Bahasa Asing Teknokrat
14,Sekolah Tinggi Ilmu Hukum Muhammadiyah Kotabumi
5,STIKESMAS Widya Dharma Palembang
25,Sekolah Tinggi Ilmu Administrasi Satya Negara
2,Sekolah Tinggi Bahasa Asing Widya Dharma Palembang
11,Sekolah Tinggi Ilmu Hukum Rahmaniyah
93,Sekolah Tinggi Ilmu Kesehatan Bina Husada
22,Sekolah Tinggi Ilmu Ekonomi Prabumulih
16,STIE IBEK Pangkalpinang Bangka
32,STKIP Muhammadiyah Pagaralam
17,Sekolah Tinggi Ilmu Ekonomi Lembah Dempo
33,STMIK Surya Intan
17,STMIK Dharma Wacana
14,STIKESMAS Nusantara
21,STMIK Prabumulih
9,Sekolah Tinggi Ilmu Teknik Prabumulih
14,Sekolah Tinggi Ilmu Ekonomi Abdi Nusa
11,STIKESMAS Abdi Nusa
9,Sekolah Tinggi Ilmu Hukum Muhammadiyah Kalianda
0,Sekolah Tinggi Ilmu Ekonomi Bina Warga
32,Sekolah Tinggi Ilmu Ekonomi Mitra Lampung
24,Sekolah Tinggi Ilmu Pertanian Belitang
29,STMIK Mitra Lampung
59,Sekolah Tinggi Ilmu Kesehatan Mitra Lampung
76,STIKES Tri Mandiri Sakti Bengkulu
5,STIPSI Abdi Nusa
16,Sekolah Tinggi Ilmu Kesehatan Abdi Nusa
14,Sekolah Tinggi Ilmu Kesehatan Al Ma arif
20,Sekolah Tinggi Ilmu Maritim Mutiara Jaya
25,Sekolah Tinggi Ilmu Farmasi Bhakti Pertiwi
50,STMIK Global Informatika Mdp
0,STKIP Sera
0,STMIK Teknokrat
13,Sekolah Tinggi Ilmu Ekonomi Lampung Timur
28,Sekolah Tinggi Ilmu Teknik Trisula
23,STIKES Bhakti Husada Bengkulu
11,Sekolah Tinggi Ilmu Pertanian Rejang Lebong
8,STMIK Muara Dua
19,STIA & Pemerintahan Annisa Dwi Salfarizi
42,STMIK Musi Rawas
63,Sekolah Tinggi Ilmu Kesehatan Siti Khadijah
10,STIKES Pembina Palembang
17,Sekolah Tinggi Ilmu Kesehatan Fitrah Aldar
22,Sekolah Tinggi Ilmu Ekonomi Gentiaras
0,Sekolah Tinggi Ilmu Kesehatan Perdhaki Charitas
25,Sekolah Tinggi Teknologi Pagaralam
28,STMIK Palcomtech
51,STIKES Muhammadiyah Palembang
19,STISIPOL Pahlawan 12
22,STMIK Bina Nusantara Jaya Lubuk Linggau
43,STKIP Nurul Huda di Sukaraja
92,STMIK Pringsewu
0,Sekolah Tinggi Ilmu Kesehatan Dehasen
30,Sekolah Tinggi Ilmu Kesehatan Mitra Adiguna
37,STMIK Dian Cipta Cendikia Kotabumi
20,STIE Multi Data Palembang
49,STIKES Muhammadiyah Pringsewu
13,Sekolah Tinggi Ilmu Kesehatan Permata Nusantara
34,STIKES Aisyah Pringsewu
20,STIKES Citra Delima Bangka Belitung
